Epoca: 266 | Loss: 0.5848 | Accuracy: 86.53%
Epoca: 267 | Loss: 0.5838 | Accuracy: 86.53%
Epoca: 268 | Loss: 0.5827 | Accuracy: 86.53%
Epoca: 269 | Loss: 0.5816 | Accuracy: 86.73%
Epoca: 270 | Loss: 0.5806 | Accuracy: 86.73%
Epoca: 271 | Loss: 0.5795 | Accuracy: 86.73%
Epoca: 272 | Loss: 0.5784 | Accuracy: 86.73%
Epoca: 273 | Loss: 0.5773 | Accuracy: 86.73%
Epoca: 274 | Loss: 0.5762 | Accuracy: 86.94%
Epoca: 275 | Loss: 0.5751 | Accuracy: 86.94%
Epoca: 276 | Loss: 0.5740 | Accuracy: 86.94%
Epoca: 277 | Loss: 0.5729 | Accuracy: 86.94%
Epoca: 278 | Loss: 0.5717 | Accuracy: 86.94%
Epoca: 279 | Loss: 0.5706 | Accuracy: 86.94%
Epoca: 280 | Loss: 0.5695 | Accuracy: 86.94%
Epoca: 281 | Loss: 0.5684 | Accuracy: 86.94%
Epoca: 282 | Loss: 0.5672 | Accuracy: 86.94%
Epoca: 283 | Loss: 0.5661 | Accuracy: 86.94%
Epoca: 284 | Loss: 0.5649 | Accuracy: 86.94%
Epoca: 285 | Loss: 0.5638 | Accuracy: 86.94%
Epoca: 286 | Loss: 0.5627 | Accuracy: 87.14%
Epoca: 287 | Loss: 0.5615 | Accuracy: 87.35%
Epoca: 288 | Loss: 0.5603 | Accuracy: 87.35%
Epoca: 289 | Loss: 0.5592 | Accuracy: 87.35%
Epoca: 290 | Loss: 0.5580 | Accuracy: 87.35%
Epoca: 291 | Loss: 0.5568 | Accuracy: 87.35%
Epoca: 292 | Loss: 0.5557 | Accuracy: 87.35%
Epoca: 293 | Loss: 0.5545 | Accuracy: 87.55%
Epoca: 294 | Loss: 0.5533 | Accuracy: 87.55%
Epoca: 295 | Loss: 0.5521 | Accuracy: 87.55%
Epoca: 296 | Loss: 0.5509 | Accuracy: 87.55%
Epoca: 297 | Loss: 0.5497 | Accuracy: 87.55%
Epoca: 298 | Loss: 0.5486 | Accuracy: 87.76%
Epoca: 299 | Loss: 0.5474 | Accuracy: 87.96%
Epoca: 300 | Loss: 0.5462 | Accuracy: 87.96%
Epoca: 301 | Loss: 0.5449 | Accuracy: 87.96%
Epoca: 302 | Loss: 0.5437 | Accuracy: 87.96%
Epoca: 303 | Loss: 0.5425 | Accuracy: 87.96%
Epoca: 304 | Loss: 0.5413 | Accuracy: 87.96%
Epoca: 305 | Loss: 0.5401 | Accuracy: 87.96%
Epoca: 306 | Loss: 0.5389 | Accuracy: 87.96%
Epoca: 307 | Loss: 0.5377 | Accuracy: 87.96%
Epoca: 308 | Loss: 0.5364 | Accuracy: 87.96%
Epoca: 309 | Loss: 0.5352 | Accuracy: 87.96%
Epoca: 310 | Loss: 0.5340 | Accuracy: 87.96%
Epoca: 311 | Loss: 0.5328 | Accuracy: 88.37%
